ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
88,elementwise_kernel,5.96,108,12.35,3.17,20.44,100,0,87.46
89,vectorized_elementwise_kernel,14.20,108,24.14,4.38,9.08,100,0,100.31
90,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.97,108,30.16,11.69,12.19,12.50,16.98,81.80
91,CatArrayBatchedCopy_aligned16_contig,58.38,108,75.03,75.03,90.75,100,60.00,63.02
92,ampere_sgemm_128x32_tn,88.73,108,80.11,2.21,45.64,50,0.18,97.40
93,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.94,12.50,12.50,0,84.39
94,reduce_kernel,11.87,108,52.37,52.37,58.49,62.50,6.37,19.82
95,vectorized_elementwise_kernel,0.04,108,0.60,0.18,6.20,100,0,84.19
96,vectorized_elementwise_kernel,6.36,108,39.26,32.79,67.03,100,0,51.19
97,layer_norm_grad_input_kernel_vectorized,37.51,108,64.82,64.82,65.13,75,44.52,53.12
98,GammaBetaBackwardCUDAKernel_32x32,12.13,108,38.20,38.20,49.91,100,0.09,18.78
99,vectorized_elementwise_kernel,6.39,108,70.84,70.84,87.74,100,29.31,41.16
100,vectorized_elementwise_kernel,0.02,108,0.40,0.08,6.19,100,0,91.53
101,vectorized_elementwise_kernel,0.02,108,0.44,0.08,6.20,100,0,91.50
102,vectorized_elementwise_kernel,15.31,108,68.05,68.05,85.14,100,0,54.48
103,ampere_sgemm_128x64_tn,95.87,108,48.16,2.06,23.96,25,0.36,98.58
104,ampere_sgemm_128x128_nt,98.47,108,31.88,3.98,23.45,25,0.04,78.20
105,reduce_kernel,9.16,108,32.27,32.27,41.51,62.50,8.29,7.41
106,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.20,100,0,88.97
107,vectorized_elementwise_kernel,7.13,108,43.23,36.31,74.52,100,0,51.97
108,vectorized_elementwise_kernel,6.46,108,86.57,86.57,92.49,100,0,48.99
109,vectorized_elementwise_kernel,6.48,108,87.14,87.14,92.42,100,0,48.84
110,vectorized_elementwise_kernel,7.83,108,86.98,86.98,92.03,100,0,48.84
111,vectorized_elementwise_kernel,8.57,108,84.26,84.26,89.37,100,0,61.81
112,vectorized_elementwise_kernel,8.60,108,84.20,84.20,88.49,100,0,61.79
113,vectorized_elementwise_kernel,8.53,108,83.64,83.64,89.20,100,0,61.50
114,vectorized_elementwise_kernel,8.62,108,84.11,84.11,89.23,100,0,61.75
115,vectorized_elementwise_kernel,6.42,108,86.75,86.75,92.44,100,0,48.72
116,vectorized_elementwise_kernel,6.43,108,86.41,86.41,92.52,100,27.54,44.41
117,vectorized_elementwise_kernel,8.53,108,84.39,84.39,88.65,100,0,61.93
118,vectorized_elementwise_kernel,6.44,108,85.67,85.67,92.41,100,27.56,44.12
119,ampere_sgemm_128x32_tn,89.13,108,80.36,2.38,45.63,50,0.13,96.96
120,ampere_sgemm_64x32_sliced1x4_nt,92.92,108,52.98,6.37,23.88,25,0.09,82.80
121,reduce_kernel,10.88,108,59.80,59.80,56.97,62.50,4.89,21.04
122,vectorized_elementwise_kernel,0.04,108,0.60,0.20,6.19,100,0,81.67
123,vectorized_elementwise_kernel,7.09,108,45.15,37.91,72.02,100,0,51.83
124,layer_norm_grad_input_kernel_vectorized,37.51,108,65.75,65.75,65.03,75,44.39,54.20
125,GammaBetaBackwardCUDAKernel_32x32,12.08,108,38.35,38.35,49.92,100,0.09,18.66
126,vectorized_elementwise_kernel,6.49,108,71.66,71.66,87.82,100,29.52,41.07
127,vectorized_elementwise_kernel,0.02,108,0.46,0.08,6.07,100,0,89.96
128,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,87.63
129,vectorized_elementwise_kernel,14.91,108,66.51,66.51,85.15,100,0,53.85
130,ampere_sgemm_128x32_tn,87.69,108,80.14,2.45,45.64,50,0.52,97.41
131,ampere_sgemm_64x32_sliced1x4_nt,82.21,108,46.85,5.98,20.82,25,0.08,81.53
132,reduce_kernel,9.48,108,32.23,32.23,41.48,62.50,8.31,7.45
133,vectorized_elementwise_kernel,0.02,108,0.49,0.09,6.20,100,0,88.78
134,vectorized_elementwise_kernel,3.94,108,18.72,18.22,42.04,100,0,54.87
135,vectorized_elementwise_kernel,6.24,108,73.88,73.88,87.72,100,0,46.01
136,reduce_kernel,75.48,108,23.92,23.92,90.14,100,10.44,8.46
137,elementwise_kernel,5.92,108,12.00,3.19,20.38,100,0,86.36
138,vectorized_elementwise_kernel,14.21,108,24.16,4.39,9.09,100,0,98.71
139,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.89,108,30.09,11.04,12.16,12.50,16.96,82.18
140,CatArrayBatchedCopy_aligned16_contig,58.19,108,74.89,74.89,90.78,100,60.00,62.97
141,ampere_sgemm_128x32_tn,88.63,108,80.02,2.21,45.65,50,0.18,97.25
142,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.94,12.50,12.50,0,84.23
143,reduce_kernel,11.88,108,49.78,49.78,56.85,62.50,6.38,19.55
144,vectorized_elementwise_kernel,0.04,108,0.53,0.17,6.16,100,0,87.37
145,vectorized_elementwise_kernel,6.37,108,38.90,32.45,66.47,100,0,51.84
146,layer_norm_grad_input_kernel_vectorized,37.50,108,64.87,64.87,65.09,75,44.61,53.59
147,GammaBetaBackwardCUDAKernel_32x32,12.21,108,37.75,37.75,49.91,100,0.09,18.90
148,vectorized_elementwise_kernel,6.50,108,71.71,71.71,88.23,100,29.16,41.35
149,vectorized_elementwise_kernel,0.02,108,0.44,0.08,6.20,100,0,88.84
150,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,88.01
151,vectorized_elementwise_kernel,15.12,108,68.56,68.56,85.08,100,0,54.42
152,ampere_sgemm_128x64_tn,95.86,108,48.15,2.06,23.96,25,0.36,98.80
