Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
vectorized_elementwise_kernel,24.56,96.55,96.55,65.07,100,0,99.18
unrolled_elementwise_kernel,55.37,51.89,51.89,93.77,100,0,67.48
unrolled_elementwise_kernel,54.79,45.58,45.58,92.05,100,0,67.56
unrolled_elementwise_kernel,55.00,42.92,42.92,92.18,100,0,67.95
unrolled_elementwise_kernel,55.10,50.78,50.78,92.60,100,0,67.65
unrolled_elementwise_kernel,55.30,51.77,51.77,93.25,100,0,67.52
unrolled_elementwise_kernel,55.51,52.10,52.10,93.59,100,0,67.25
unrolled_elementwise_kernel,54.82,42.68,42.68,90.86,100,0,67.82
unrolled_elementwise_kernel,54.88,50.57,50.57,92.71,100,0,67.64
unrolled_elementwise_kernel,55.54,52.16,52.16,94.18,100,0,67.25
unrolled_elementwise_kernel,55.26,51.73,51.73,92.95,100,0,67.10
unrolled_elementwise_kernel,54.52,42.47,42.47,91.07,100,0,67.40
unrolled_elementwise_kernel,54.89,50.51,50.51,93.30,100,0,67.57
unrolled_elementwise_kernel,54.95,51.55,51.55,93.43,100,0,67.34
unrolled_elementwise_kernel,55.58,52.17,52.17,93.30,100,0,67.24
unrolled_elementwise_kernel,54.84,42.74,42.74,90.64,100,0,67.44
unrolled_elementwise_kernel,55.03,50.66,50.66,93.14,100,0,67.57
unrolled_elementwise_kernel,55.43,52.03,52.03,93.47,100,0,67.33
unrolled_elementwise_kernel,55.20,51.80,51.80,93.52,100,0,67.11
unrolled_elementwise_kernel,54.92,42.87,42.87,91.01,100,0,67.61
unrolled_elementwise_kernel,55.41,51.09,51.09,93.42,100,0,67.72
unrolled_elementwise_kernel,55.06,51.71,51.71,93.72,100,0,67.32
unrolled_elementwise_kernel,55.60,52.03,52.03,93.83,100,0,67.21
unrolled_elementwise_kernel,55.12,42.89,42.89,91.57,100,0,67.60
unrolled_elementwise_kernel,55.01,50.63,50.63,92.47,100,0,67.57
unrolled_elementwise_kernel,55.26,51.83,51.83,93.21,100,0,67.41
unrolled_elementwise_kernel,55.38,52.01,52.01,93.98,100,0,67.31
unrolled_elementwise_kernel,54.63,42.71,42.71,91.75,100,0,67.75
unrolled_elementwise_kernel,55.01,50.69,50.69,92.51,100,0,67.83
unrolled_elementwise_kernel,55.54,51.99,51.99,93.86,100,0,67.27
unrolled_elementwise_kernel,55.18,51.76,51.76,93.03,100,0,67.29
unrolled_elementwise_kernel,54.82,42.58,42.58,91.53,100,0,67.53
unrolled_elementwise_kernel,55.36,50.94,50.94,94.03,100,0,67.69
unrolled_elementwise_kernel,55.11,51.70,51.70,92.82,100,0,67.14
unrolled_elementwise_kernel,55.50,52.12,52.12,93.95,100,0,67.11
unrolled_elementwise_kernel,54.44,42.67,42.67,91.26,100,0,67.70
unrolled_elementwise_kernel,55.01,50.67,50.67,93.69,100,0,67.69
unrolled_elementwise_kernel,55.05,51.62,51.62,93.19,100,0,67.67
unrolled_elementwise_kernel,55.27,51.66,51.66,93.18,100,0,67.16
unrolled_elementwise_kernel,55.00,43.03,43.03,90.43,100,0,67.71
unrolled_elementwise_kernel,55.32,50.98,50.98,93.37,100,0,67.59
unrolled_elementwise_kernel,55.10,51.75,51.75,93.73,100,0,67.23
unrolled_elementwise_kernel,55.58,52.18,52.18,93.88,100,0,67.51
unrolled_elementwise_kernel,54.76,42.74,42.74,90.30,100,0,67.54
unrolled_elementwise_kernel,54.97,50.45,50.45,92.42,100,0,67.62
unrolled_elementwise_kernel,55.43,52.05,52.05,94.04,100,0,67.23
unrolled_elementwise_kernel,55.14,51.80,51.80,92.92,100,0,67.19
unrolled_elementwise_kernel,54.96,42.81,42.81,91.49,100,0,67.61
unrolled_elementwise_kernel,55.36,50.79,50.79,93.93,100,0,67.71
unrolled_elementwise_kernel,55.30,51.88,51.88,93.42,100,0,67.47
unrolled_elementwise_kernel,55.31,51.91,51.91,93.13,100,0,67.37
unrolled_elementwise_kernel,0.41,6.03,0.25,6.48,100,0,95.50
unrolled_elementwise_kernel,0.39,5.75,0.24,6.41,100,0,96.16
unrolled_elementwise_kernel,0.40,5.89,0.24,6.49,100,0,95.67
unrolled_elementwise_kernel,0.16,6.22,0.18,6.32,100,0,96.51
unrolled_elementwise_kernel,0.41,6.20,0.25,6.28,100,0,97.02
unrolled_elementwise_kernel,0.39,5.77,0.24,6.57,100,0,95.89
unrolled_elementwise_kernel,0.20,5.96,0.18,6.13,100,0,96.16
unrolled_elementwise_kernel,0.40,5.80,0.24,6.54,100,0,94.79
unrolled_elementwise_kernel,0.41,6.01,0.25,6.25,100,0,95.24
unrolled_elementwise_kernel,0.39,5.68,0.24,6.42,100,0,94.36
unrolled_elementwise_kernel,0.38,5.62,0.23,6.21,100,0,95.13
unrolled_elementwise_kernel,0.15,5.86,0.17,6.22,100,0,95.65
unrolled_elementwise_kernel,0.41,5.96,0.25,6.23,100,0,95.11
unrolled_elementwise_kernel,0.41,6.05,0.25,6.23,100,0,95.23
unrolled_elementwise_kernel,0.19,5.58,0.17,6.09,100,0,96.10
unrolled_elementwise_kernel,0.41,5.99,0.25,6.46,100,0,95.39
unrolled_elementwise_kernel,0.41,5.98,0.25,6.25,100,0,95.16
unrolled_elementwise_kernel,0.39,5.65,0.24,6.34,100,0,95.05
unrolled_elementwise_kernel,0.38,5.56,0.23,6.32,100,0,94.41
unrolled_elementwise_kernel,0.16,6.09,0.17,6.20,100,0,96.65
unrolled_elementwise_kernel,0.38,5.53,0.23,5.82,100,0,94.08
unrolled_elementwise_kernel,0.39,5.69,0.24,6.34,100,0,94.69
unrolled_elementwise_kernel,0.21,6.02,0.19,6.47,100,0,95.88
unrolled_elementwise_kernel,0.39,5.67,0.24,6.11,100,0,95.02
unrolled_elementwise_kernel,0.40,5.93,0.24,6.22,100,0,94.58
unrolled_elementwise_kernel,0.39,5.77,0.24,6.61,100,0,93.10
