ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
316,layer_norm_grad_input_kernel,53.13,132,66.49,61.75,90.29,100,79.85,40.65
317,GammaBetaBackwardCUDAKernel_32x32,9.46,132,35.37,35.37,49.92,100,0.09,8.79
318,vectorized_elementwise_kernel,11.03,132,76.46,76.46,82.43,100,29.31,37.88
319,vectorized_elementwise_kernel,0.01,132,9.57,0.06,5.72,100,0,99.06
320,vectorized_elementwise_kernel,0.02,132,9.83,0.06,6.24,100,0,99.18
321,vectorized_elementwise_kernel,14.99,132,65.93,65.93,82.30,100,0,50.13
322,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,77.15,132,73.82,9.54,12.45,12.50,2.36,88.53
323,Kernel,85.60,132,35.09,6.30,12.51,12.50,0,62.16
324,splitKreduce_kernel,16.82,132,39.70,39.70,81.68,100,0,20.10
325,reduce_kernel,8.02,132,30.99,30.99,35.76,56.25,7.33,13.83
326,vectorized_elementwise_kernel,0.02,132,9.73,0.06,4.95,100,0,98.99
327,vectorized_elementwise_kernel,5.50,132,18.37,15.95,39.24,100,0,62.29
328,elementwise_kernel,64.43,132,38.68,38.68,80.97,100,0,59.48
329,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.45,132,58.88,40.43,12.28,12.50,0.04,25.56
330,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,64.50,132,51.34,26.28,12.35,12.50,0.96,93.16
331,vectorized_elementwise_kernel,14.10,132,88.76,88.76,86.00,100,0,47.85
332,vectorized_elementwise_kernel,9.78,132,91.49,91.49,87.62,100,0,35.76
333,softmax_warp_backward,13.55,132,90.87,90.87,51.00,56.25,0,35.44
334,vectorized_elementwise_kernel,0.01,132,11.09,0.04,5.73,100,0,99.51
335,elementwise_kernel,81.39,132,48.60,48.60,85.09,100,15.60,69.34
336,elementwise_kernel,67.41,132,61.08,61.08,85.86,100,11.11,50.68
