Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
vectorized_elementwise_kernel,0.01,11.45,0.04,5.01,100,0,99.46
kernelHistogram1D,0.04,5.43,0.08,27.19,75,0,97.88
unrolled_elementwise_kernel,0.01,9.29,0.19,6.70,100,0,95.09
unrolled_elementwise_kernel,0.01,7.88,0.17,5.79,100,0,95.57
vectorized_elementwise_kernel,0.01,11.35,0.04,7.43,100,0,98.60
kernelHistogram1D,0.05,5.21,0.08,23.58,75,0,94.84
unrolled_elementwise_kernel,0.01,9.18,0.19,6.06,100,0,96.22
unrolled_elementwise_kernel,0.01,8.09,0.18,6.44,100,0,96.13
vectorized_elementwise_kernel,0.01,9.57,0.03,7.92,100,0,98.26
kernelHistogram1D,0.04,5.47,0.08,25.39,75,0,95.43
unrolled_elementwise_kernel,0.01,9.17,0.19,6.14,100,0,95.22
CatArrayBatchedCopy_aligned16_contig,0.04,8.19,0.06,3.88,100,33.33,97.70
distribution_elementwise_grid_stride_kernel,74.44,16.57,14.89,56.78,75,45.75,99.16
elementwise_kernel_with_index,0.00,10.81,0.03,2.42,100,0,98.26
vectorized_elementwise_kernel,0.01,9.69,0.04,4.15,100,0,99.46
vectorized_elementwise_kernel,0.01,11.39,0.04,4.62,100,0,98.16
elementwise_kernel,0.01,7.52,0.38,4.40,100,5.56,93.61
vectorized_elementwise_kernel,0.01,9.04,0.06,4.61,100,0,99.02
vectorized_elementwise_kernel,0.01,9.78,0.04,4.88,100,0,99.47
distribution_elementwise_grid_stride_kernel,44.70,8.61,0.03,58.68,75,46.84,99.42
vectorized_elementwise_kernel,0.03,11.62,0.04,6.60,100,0,98.22
distribution_elementwise_grid_stride_kernel,52.59,8.46,0.02,58.47,75,46.97,99.79
vectorized_elementwise_kernel,0.01,11.09,0.03,6.35,100,50,98.46
vectorized_elementwise_kernel,0.01,9.46,0.03,6.17,100,40,99.47
vectorized_elementwise_kernel,0.03,11.94,0.04,6.21,100,0,100.01
distribution_elementwise_grid_stride_kernel,70.08,15.00,1.39,57.17,75,45.85,99.75
distribution_elementwise_grid_stride_kernel,65.47,13.71,0.01,57.50,75,45.95,99.76
distribution_elementwise_grid_stride_kernel,44.88,8.71,0.03,59.37,75,46.89,98.80
vectorized_elementwise_kernel,0.03,11.54,0.04,5.52,100,0,99.71
distribution_elementwise_grid_stride_kernel,52.62,8.53,0.03,58.16,75,46.93,99.67
vectorized_elementwise_kernel,0.01,11.06,0.03,6.30,100,50,99.49
vectorized_elementwise_kernel,0.01,11.60,0.04,6.47,100,50,99.36
vectorized_elementwise_kernel,0.03,11.96,0.03,6.15,100,0,100.48
